what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1462666655954
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666674018
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666674264
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462666680149
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462666680327
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462666680545
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462666681110
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462666681715
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462666682084
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666694973
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666737319
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666739140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666739373
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462666743258
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462666744891
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462666747394
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462666769605
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666774712
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666776768
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666777575
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666778165
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666778503
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666779553
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666791850
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462666791869
