what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1463493662925
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463493665335
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463493665510
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463493685363
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463493699173
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463493729173
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463493737302
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1463493791632
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1463493796562
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493802407
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493802621
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493803107
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493803442
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1463493824752
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1463493834012
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1463493852338
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493856454
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493856772
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493856965
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493857433
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463493859050
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463493877641
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493892976
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493893842
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493894237
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493903436
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463493904726
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463493905519
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463494044176
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1463494046708
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1463494047474
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463494051413
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463494061907
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1463494061918
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463494062357
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463494062387
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1463494063707
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463494063987
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463494088500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463494088669
error,log,,,"Designer [1.7.0.r42x201405021445.201605171042]: new JPanel()",1463494088706
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463494090459
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463494090550
error,log,,,"Designer [1.7.0.r42x201405021445.201605171042]: new JPanel()",1463494090565
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463494091132
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463494091373
