what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462658507146
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462658515346
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462658546164
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462658574617
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462658590424
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658590472
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658590664
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462658590746
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658590831
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658590990
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462658637379
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658637419
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658637624
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462658641922
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658641969
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658642152
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658672626
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658705336
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462658820953
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462658827570
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658827594
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658827839
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462658827919
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658828042
no handler,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462658828131
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658828276
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462658828393
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658828480
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658828689
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462658828755
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462658828876
no handler,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462658828948
