what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.rcp.nebula,1.7.0.r42x201405021526,"org.eclipse.wb.rcp.nebula",1463523667328
started,bundle,org.eclipse.wb.swing,1.7.0.r42x201405021531,"org.eclipse.wb.swing",1463523667343
started,bundle,org.eclipse.wb.swing.FormLayout,1.7.0.r42x201405021531,"org.eclipse.wb.swing.FormLayout",1463523667374
started,bundle,org.eclipse.wb.xwt,1.7.0.r42x201405021548,"org.eclipse.wb.xwt",1463523667468
started,bundle,org.eclipse.pde.core,3.5.0.v20090602,"org.eclipse.pde.core",1463523667999
started,bundle,org.eclipse.pde,3.4.100.v200906111540,"org.eclipse.pde",1463523668031
started,bundle,org.eclipse.wb.rcp.swing2swt,1.7.0.r42x201405021526,"org.eclipse.wb.rcp.swing2swt",1463523671062
started,bundle,org.eclipse.wb.core.databinding,1.7.0.r42x201405021448,"org.eclipse.wb.core.databinding",1463523671812
started,bundle,org.eclipse.wb.swing.jsr296,1.7.0.r42x201405021531,"org.eclipse.wb.swing.jsr296",1463523673812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463523674359
started,bundle,org.eclipse.wb.swing.MigLayout.lib,1.7.0.r42x201405021531,"org.eclipse.wb.swing.MigLayout.lib",1463523675312
started,bundle,org.eclipse.wb.swing.MigLayout,1.7.0.r42x201405021531,"org.eclipse.wb.swing.MigLayout",1463523675312
started,bundle,org.eclipse.wb.swing.java6,1.7.0.r42x201405021531,"org.eclipse.wb.swing.java6",1463523675328
started,bundle,org.eclipse.wb.layout.group,1.7.0.r42x201405021517,"org.eclipse.wb.layout.group",1463523675344
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1463523682610
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463523690820
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463523692414
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1463523695483
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1463523696030
started,bundle,org.eclipse.pde.api.tools,1.0.100.v20090526,"org.eclipse.pde.api.tools",1463523703108
started,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1463523703108
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1463523703108
started,bundle,org.eclipse.mylyn.pde.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.pde.ui",1463523703186
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463523709874
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463523732842
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1463523868027
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463523874790
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463523890629
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1463523934371
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1463523959566
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524016493
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524016962
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1463524024811
started,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1463524024936
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1463524026592
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524028468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524039340
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1463524053314
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463524059410
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524063348
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524073817
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524077044
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524111615
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524485357
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524497242
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524552082
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524561549
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1463524564507
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524584331
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524587347
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463524590363
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524612626
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524614111
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524614720
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524791679
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1463524801976
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463524828387
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524828529
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524828833
started,bundle,org.eclipse.wb.os,1.7.0.r42x201405021445,"org.eclipse.wb.os",1463524831546
started,bundle,org.eclipse.wb.os.win32,1.7.0.r42x201405021445,"org.eclipse.wb.os.win32",1463524831565
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524843949
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524853062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524855915
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524947226
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524982163
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524988446
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524991053
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463524996955
