what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.swing,1.7.0.r42x201405021531,"org.eclipse.wb.swing",1463433020325
started,bundle,org.eclipse.wb.swing.FormLayout,1.7.0.r42x201405021531,"org.eclipse.wb.swing.FormLayout",1463433020348
started,bundle,org.eclipse.wb.xwt,1.7.0.r42x201405021548,"org.eclipse.wb.xwt",1463433020448
started,bundle,org.eclipse.pde,3.4.100.v200906111540,"org.eclipse.pde",1463433020658
started,bundle,org.eclipse.wb.rcp.swing2swt,1.7.0.r42x201405021526,"org.eclipse.wb.rcp.swing2swt",1463433023575
started,bundle,org.eclipse.wb.core.databinding,1.7.0.r42x201405021448,"org.eclipse.wb.core.databinding",1463433024538
started,bundle,org.eclipse.wb.swing.jsr296,1.7.0.r42x201405021531,"org.eclipse.wb.swing.jsr296",1463433026258
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433026530
started,bundle,org.eclipse.wb.swing.MigLayout.lib,1.7.0.r42x201405021531,"org.eclipse.wb.swing.MigLayout.lib",1463433027488
started,bundle,org.eclipse.wb.swing.MigLayout,1.7.0.r42x201405021531,"org.eclipse.wb.swing.MigLayout",1463433027488
started,bundle,org.eclipse.wb.swing.java6,1.7.0.r42x201405021531,"org.eclipse.wb.swing.java6",1463433027509
started,bundle,org.eclipse.wb.layout.group,1.7.0.r42x201405021517,"org.eclipse.wb.layout.group",1463433027534
started,bundle,org.eclipse.wb.os,1.7.0.r42x201405021445,"org.eclipse.wb.os",1463433032836
started,bundle,org.eclipse.wb.os.win32,1.7.0.r42x201405021445,"org.eclipse.wb.os.win32",1463433032848
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1463433049887
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463433050175
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463433050198
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1463433090085
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1463433090867
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433096612
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433162277
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1463433162287
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463433164727
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463433388809
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433390625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433391105
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463433400208
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463433401651
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463433403035
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463433404384
started,bundle,org.eclipse.wb.swing.FormLayout.lib,1.7.0.r42x201405021531,"org.eclipse.wb.swing.FormLayout.lib",1463433457374
error,log,,,"Designer [1.7.0.r42x201405021445.201605161817]: new JComboBox()",1463433472144
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433475994
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433476114
error,log,,,"Designer [1.7.0.r42x201405021445.201605161817]: 313 (Exception during 'super' constructor evaluation). JDialog() {} java.lang.NullPointerException\r\n\tat java.beans.MethodRef.get(Unknown Source)\r\n\tat java.beans.PropertyDescriptor.getWriteMethod(Unknown Source)",1463433476114
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433476734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433476840
error,log,,,"Designer [1.7.0.r42x201405021445.201605161817]: new JComboBox()",1463433476858
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433477331
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433477543
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433553233
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433553254
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433566462
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433610615
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433612023
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433612963
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433708342
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433716214
error,log,,,"Designer [1.7.0.r42x201405021445.201605161817]: new JLabel(""New label"")",1463433723993
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433740502
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433740622
error,log,,,"Designer [1.7.0.r42x201405021445.201605161817]: new JLabel(""New label"")",1463433740642
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433741318
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433741512
started,bundle,org.eclipse.acceleo.ide.ui,0.8.1.v200909161003,"org.eclipse.acceleo.ide.ui",1463433820579
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433971398
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463433973869
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463433973890
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463433978850
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463433981509
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463434104175
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463434736631
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463434904891
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463435720207
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463436184860
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463436817643
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463436846863
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463436846910
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463436908886
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463436909042
error,log,,,"Designer [1.7.0.r42x201405021445.201605161817]: 313 (Exception during 'super' constructor evaluation). JFrame() {} java.lang.NullPointerException\r\n\tat java.beans.MethodRef.get(Unknown Source)\r\n\tat java.beans.PropertyDescriptor.getWriteMethod(Unknown Source)",1463436909073
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463436912292
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463436912636
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463436951407
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463436959970
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463436961345
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463436963877
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463436970518
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437066873
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437296650
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437299385
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437621067
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463437628944
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463437711516
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437749424
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437749455
error,log,,,"Designer [1.7.0.r42x201405021445.201605161817]: new JScrollBar()",1463437785521
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437787237
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437787527
error,log,,,"Designer [1.7.0.r42x201405021445.201605161817]: new JScrollBar()",1463437787543
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437788150
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437788452
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463437811995
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437922424
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437922440
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437924206
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463437924237
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438063027
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438064762
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463438135828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438188792
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438188824
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438193186
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438193201
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438196872
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438196888
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438198414
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438198430
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438285298
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463438287117
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463438287191
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1463438361726
