what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463534218283
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536664304
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536697729
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536787172
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536791990
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536792811
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536794481
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536817256
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536817662
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536826026
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536850812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536862196
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463536869713
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463536877863
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1463536886533
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1463536890671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536894581
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536899639
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1463536901027
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1463536901261
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1463536901448
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1463536901980
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1463536905700
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536908153
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536944704
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1463536944735
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463536955569
executed,command,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors.lineNumberToggle",1463536957797
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1463536960328
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463536960578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536972875
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536977929
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463536978570
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463537058163
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1463537058179
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463537064405
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463537073694
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463537115792
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463537116883
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463537119289
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1463537154099
