what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463457180563
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463457184971
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463457192249
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463457207780
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463457270186
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463457284844
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463457403966
activated,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugView",1463457413611
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463457413633
closed,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugView",1463457413635
activated,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.VariableView",1463457414635
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463457414656
closed,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.VariableView",1463457414677
activated,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.BreakpointView",1463457415595
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1463457415618
closed,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.BreakpointView",1463457415635
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463457427436
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463457437025
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1463457437100
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.views.showView",1463457437101
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.views.showView",1463457437101
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1463457441649
