what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661275741
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462661278955
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661280494
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661309262
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462661311651
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462661313379
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462661321464
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462661333533
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661333584
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661333789
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661357135
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661676452
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462661681310
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462661688760
error,log,,,"Designer [1.7.0.r42x201405021445.201605071919]: null argument",1462661692290
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462661695620
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462661700033
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661713420
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661795982
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661803031
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661810362
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661811976
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661812288
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462661822189
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462662111782
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462662118300
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462662123924
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462662124781
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462662807113
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462662846193
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663410169
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462663455290
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663464993
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663470194
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663471263
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663836934
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462663859705
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462663864250
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462663865705
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462663870572
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663870676
no handler,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462663870756
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663870953
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462663871906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663871996
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663872261
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663884005
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663884206
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462663891309
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664192362
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664195541
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664198677
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462664202029
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664202091
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664202302
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462664220674
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664220744
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664220937
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462664227004
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664227054
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664227233
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664267864
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664270233
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462664292244
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664523676
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664547559
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664550821
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664556849
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664560048
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664562417
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664574666
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462664577094
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664579551
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664584938
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664589090
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664605050
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664610077
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664624422
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664625972
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664630934
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664631083
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664632600
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664632846
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664633946
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664637004
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664643412
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664647064
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462664649607
error,log,,,"Designer [1.7.0.r42x201405021445.201605071919]: new JTextPane()",1462664671369
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664673146
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664673294
error,log,,,"Designer [1.7.0.r42x201405021445.201605071919]: new JTextPane()",1462664673307
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664673898
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664673998
error,log,,,"Designer [1.7.0.r42x201405021445.201605071919]: new JTextPane()",1462664674011
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664674532
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664674732
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664678092
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664686940
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664700302
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664700529
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664720207
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664725151
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664756595
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664777133
executed,command,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1462664783942
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664783973
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664786930
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664790739
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664805177
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664809168
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664812575
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462664819508
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462664847004
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462664849193
no handler,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462664855709
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1462664858062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664863231
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664929993
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462664932127
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664933354
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462664990160
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462665015086
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462665053679
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462665055723
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462665068944
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462665070087
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1462665072564
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462665073887
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462665076937
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462665088119
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462665094696
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462665098652
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462665109970
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1462665136312
activated,view,org.eclipse.wb.core,1.7.0.r42x201405021445,"org.eclipse.wb.core.StructureView",1462665145310
